han,hex,dec
如,5982,22914
妃,5983,22915
妄,5984,22916
妆,5986,22918
妇,5987,22919
妈,5988,22920
妊,598A,22922
妍,598D,22925
妒,5992,22930
妓,5993,22931
妖,5996,22934
妙,5999,22937
妞,599E,22942
妥,59A5,22949
妨,59A8,22952
妪,59AA,22954
妮,59AE,22958
妳,59B3,22963
妹,59B9,22969
妻,59BB,22971
妾,59BE,22974
姆,59C6,22982
姊,59CA,22986
始,59CB,22987
姐,59D0,22992
姑,59D1,22993
姓,59D3,22995
委,59D4,22996
姗,59D7,22999
姚,59DA,23002
姜,59DC,23004
姣,59E3,23011
姥,59E5,23013
姨,59E8,23016
姬,59EC,23020
姮,59EE,23022
姹,59F9,23033
姻,59FB,23035
姿,59FF,23039
威,5A01,23041
娃,5A03,23043
娄,5A04,23044
娅,5A05,23045
娆,5A06,23046
娇,5A07,23047
娑,5A11,23057
娘,5A18,23064
娜,5A1C,23068
娟,5A1F,23071
娠,5A20,23072
娣,5A23,23075
娥,5A25,23077
娩,5A29,23081
娱,5A31,23089
娴,5A34,23092
娶,5A36,23094
娼,5A3C,23100
婀,5A40,23104
婆,5A46,23110
婉,5A49,23113
婚,5A5A,23130
婢,5A62,23138
婪,5A6A,23146
婴,5A74,23156
婵,5A75,23157
婶,5A76,23158
婷,5A77,23159
婿,5A7F,23167
媒,5A92,23186
媚,5A9A,23194
媛,5A9B,23195
媲,5AB2,23218
媳,5AB3,23219
媾,5ABE,23230
嫁,5AC1,23233
嫂,5AC2,23234
嫉,5AC9,23241
嫌,5ACC,23244
嫔,5AD4,23252
嫖,5AD6,23254
嫡,5AE1,23265
嫣,5AE3,23267
嫦,5AE6,23270
嫩,5AE9,23273
嫪,5AEA,23274
嬉,5B09,23305
嬴,5B34,23348
嬷,5B37,23351
孀,5B40,23360
子,5B50,23376
孑,5B51,23377
孔,5B54,23380
孕,5B55,23381
字,5B57,23383
存,5B58,23384
孙,5B59,23385
孚,5B5A,23386
孜,5B5C,23388
孝,5B5D,23389
孟,5B5F,23391
季,5B63,23395
孤,5B64,23396
学,5B66,23398
孩,5B69,23401
孪,5B6A,23402
孰,5B70,23408
孳,5B73,23411
孵,5B75,23413
孺,5B7A,23418
孽,5B7D,23421
宁,5B81,23425
它,5B83,23427
宅,5B85,23429
宇,5B87,23431
守,5B88,23432
安,5B89,23433
宋,5B8B,23435
完,5B8C,23436
宏,5B8F,23439
宕,5B95,23445
宗,5B97,23447
官,5B98,23448
宙,5B99,23449
定,5B9A,23450
宛,5B9B,23451
宜,5B9C,23452
宝,5B9D,23453
实,5B9E,23454
宠,5BA0,23456
审,5BA1,23457
客,5BA2,23458
宣,5BA3,23459
室,5BA4,23460
宦,5BA6,23462
宪,5BAA,23466
宫,5BAB,23467
宰,5BB0,23472
害,5BB3,23475
宴,5BB4,23476
宵,5BB5,23477
家,5BB6,23478
宸,5BB8,23480
容,5BB9,23481
宽,5BBD,23485
宾,5BBE,23486
宿,5BBF,23487
寂,5BC2,23490
寄,5BC4,23492
寅,5BC5,23493
密,5BC6,23494
寇,5BC7,23495
富,5BCC,23500
寐,5BD0,23504
寒,5BD2,23506
寓,5BD3,23507
寝,5BDD,23517
寞,5BDE,23518
察,5BDF,23519
寡,5BE1,23521
寤,5BE4,23524
寥,5BE5,23525
寨,5BE8,23528
寮,5BEE,23534
寰,5BF0,23536
寸,5BF8,23544
对,5BF9,23545
寺,5BFA,23546
寻,5BFB,23547
导,5BFC,23548
寿,5BFF,23551
封,5C01,23553
射,5C04,23556
将,5C06,23558
尉,5C09,23561
尊,5C0A,23562
小,5C0F,23567
少,5C11,23569
尔,5C14,23572
尖,5C16,23574
尘,5C18,23576
尚,5C1A,23578
尝,5C1D,23581
尤,5C24,23588
尧,5C27,23591
尬,5C2C,23596
就,5C31,23601
尴,5C34,23604
尸,5C38,23608
尹,5C39,23609
尺,5C3A,23610
尼,5C3C,23612
尽,5C3D,23613
尾,5C3E,23614
尿,5C3F,23615
局,5C40,23616
屁,5C41,23617
层,5C42,23618
居,5C45,23621
屈,5C48,23624
屉,5C49,23625
届,5C4A,23626
屋,5C4B,23627
屌,5C4C,23628
屎,5C4E,23630
